product_id,matched_name,original_input,quantity,match_score,idx
B059010,廣東A/生菜葉,廣東A/生菜葉,15,1.0,1
J017111,京都排骨,京都排骨,0,1.0,2
E002411,綠火焰生菜,綠火焰生菜,0,1.0,3
E011050,薑泥,薑泥,0,1.0,4
Q017120,鯊魚煙,鲨魚煙,18,0.67,5
G013042,板豆腐-硬,板豆腐-硬,0,1.0,7
G005140,生豆腸,生豆腸,14,1.0,8
H007040,軟絲\軟時,軟絲\軟時,11,1.0,9
R015200,無骨雞排,無骨雞排,18,1.0,10
R005041,上海雪菜,上海雪菜,4,1.0,11
G015050,中華雞蛋豆腐,中華雞蛋豆腐,0,1.0,12
H005102,蛤仔小/七分,蛤仔小/七分,20,1.0,13
G013070,板豆腐大漢-大,板豆腐大漢-大,0,1.0,14
E002109,櫻桃蘿蔔,櫻桃蘿萄,16,0.75,15
Q041041,蛋餃桂冠,蛋饺桂冠,10,0.75,16
S015390,蕃茄醬,蕃茄醬,19,1.0,17
S007033,油麵(大維),油麵(大維),4,1.0,18
D011010,苦瓜,苦瓜,0,1.0,19
G005010,豆干,豆干,1,1.0,20
Q027071,大湯圓白,大湯圓白,18,1.0,21
S007461,河粉(台式),河粉(台式),11,1.0,22
D049013,熟凍栗子肉,熟凍栗子肉,10,1.0,23
N001020,光鴨,光鴨,11,1.0,24
C003092,真空綠竹筍去殼/沙拉筍,真空綠竹筍去殼/沙拉筍,0,1.0,25
F001081,杏鮑菇小/杏鮑菇C,杏鮑菇小/杏鮑菇C,17,1.0,26
E009030,蒜片,蒜片,11,1.0,27
R003020,酸菜絲/酸菜葉切絲,酸菜絲/酸菜葉切絲,4,1.0,28
M001090,羊小排,羊小排,0,1.0,29
B029022,紅鳳菜,紅鳳菜,18,1.0,30
Q009010,肉粽,肉粽,18,1.0,31
B067015,苜蓿芽,苜蓿芽,13,1.0,32
E009022,蒜仁大,蒜仁大,13,1.0,33
D027014,甜豆,甜豆,1,1.0,34
B027003,蘿蔓生菜(本地),蘿蔓生菜(本地),19,1.0,35
B004010,茼蒿,蒿,18,0.9,36
D013020,扁蒲,扁蒲,19,1.0,37
B007013,山東大白菜,山東大白菜,10,1.0,38
B067013,銀芽,銀芽,10,1.0,39
H007050,小卷,小卷,12,1.0,40
C005031,泰國蘆筍去皮,泰國蘆筍去皮,9,1.0,41
D045010,新鮮白果,新鮮白果,6,1.0,42
D017082,黑柿蕃茄,黑柿蕃茄,12,1.0,43
F009050,海帶根,海带根,12,0.67,44
C037011,荸薺\馬蹄肉\馬薯\地梨去皮,薺\馬蹄肉\馬薯\地梨去皮,20,0.96,45
C027010,地瓜,洋地瓜(刘薯),5,0.9,46
J011060,里肌肉條,里肌肉條,3,1.0,48
B001007,高麗菜絲,高麗菜絲,20,1.0,49
L001250,牛筋,牛筋,4,1.0,51
F001010,生香菇,生香菇,10,1.0,52
A057040,小西瓜/小玉,小西瓜/小玉,6,1.0,53
Q053110,古早味排骨/翡翠大排,古早味排骨/翡翠大排,0,1.0,54
C021012,洋芋\馬鈴薯丁,洋芋\馬鈴薯丁,2,1.0,55
Q043020,肉羹,肉羹,8,1.0,56
B023020,小芥菜,小芥菜,7,1.0,57
H001170,魚皮,魚皮,6,1.0,58
J009282,虎掌,虎掌,9,1.0,59
D025011,荷蘭豆去蒂,荷蘭豆去蒂,10,1.0,61
G005050,白干絲\白豆干絲,白干絲\白豆干絲,20,1.0,62
H001021,吳郭魚海,吳郭魚海,15,1.0,63
C035010,芋頭,芋頭,2,1.0,64
G013141,四角油豆腐丁,四角油豆腐丁,12,1.0,65
J009021,豬肉片(厚片)-炒用,猪肉片(厚片)-炒用,14,0.9,66
B025020,廣東芥蘭,廣東芥蘭,1,1.0,67
Q055190,油條,油條,12,1.0,68
K003040,三節雞翅,三節雞翅,17,1.0,69
E003018,青蔥絲,青絲,4,0.8,70
C005033,泰國綠蘆筍(小),泰國綠蘆筍(小),19,1.0,71
J045010,火鍋豬肉片,猪肉片,4,0.72,72
Q043020,肉羹,肉羹,4,1.0,73
C009050,紅蘿蔔絲,紅蘿蔔絲,9,1.0,74
B061011,翡翠/菠菜泥(1斤/盒),翡翠/菠菜泥(1斤/盒),18,1.0,75
F001012,生香菇大,生香菇大,9,1.0,76
D051033,紫花椰菜,紫花椰菜,12,1.0,77
B005020,圓白菜/包心白菜/大白菜,圆白菜/包心白菜/大白菜,4,0.92,78
G005172,炸豆皮,炸豆皮,13,1.0,79
K005031,仿雞腿切塊,仿雞腿切塊,6,1.0,80
E009030,蒜片,蒜片,17,1.0,81
B031010,油菜,油菜,3,1.0,82
D037050,東昇南瓜\日本南瓜,東昇南瓜日本南瓜,20,0.94,83
J009181,腩排\子排\中排3cm大小,排\子排\中排3cm大小,16,0.96,84
S023220,生花生\花生仁,生花生\花生仁,20,1.0,85
B003010,小白菜/土白菜,小白菜/土白菜,17,1.0,86
Q027031,花生湯圓桂冠,花生湯圓桂冠,16,1.0,87
G023500,素魚漿,魚,16,0.9,88
G017020,甜不辣片,甜不辣片,1,1.0,89
E009021,蒜仁去頭,蒜仁去頭,19,1.0,90
J001010,五花肉\中肉\三層肉,五花肉\中肉\三層肉,9,1.0,91
K013070,清雞胸肉,清雞胸肉,2,1.0,92
S015571,沙拉\美乃滋\沙拉醬,沙拉\美乃滋\沙拉醬,3,1.0,93
E011030,薑絲/子薑絲,薑絲/子薑絲,19,1.0,94
Q053050,金華火腿,金華火腿,13,1.0,95
S015581,沙拉\美乃滋桂冠,沙拉\美乃滋桂冠,20,1.0,96
D049015,冷凍栗子,冷凍栗子,3,1.0,97
R005131,福菜,福菜,1,1.0,98
G023620,素蝦仁,素蝦仁,11,1.0,99
B013010,空心菜/蕹菜,空心菜/菜,7,0.91,100
F001090,杏鮑菇頭,杏鮑菇頭,1,1.0,101
C021010,洋芋\馬鈴薯,洋芋\馬鈴薯,4,1.0,103
B005021,大白菜,白菜鹅白菜,1,0.72,104
D027015,甜豆(去絲),甜豆(去絲),19,1.0,105
Q023200,炸魚排(自助餐用),炸魚排(自助餐用),10,1.0,106
E002310,巴西里,巴西里,14,1.0,107
Q055190,油條,油條,15,1.0,108
B001070,紫高麗,紫高麗,14,1.0,109
Q045120,新竹貢丸,新竹貢丸,7,1.0,110
C003010,綠竹筍,綠竹筍,18,1.0,111
B023010,芥菜,芥菜,12,1.0,112
B067010,豆芽菜,豆芽菜,5,1.0,113
J017020,大排片,大排片,12,1.0,114
R015110,冷凍玉米粒,冷凍玉米粒,6,1.0,115
E009060,蒜粗,蒜粗,6,1.0,116
H005103,蛤仔中,蛤仔中,17,1.0,117
S015581,沙拉\美乃滋桂冠,沙拉\美乃滋桂冠,17,1.0,118
C031020,日本山藥,日本山藥,9,1.0,119
E007041,朝天椒切好\小辣椒,朝天椒切好小辣椒,10,0.94,120
A087020,黃聖女,黃聖女,17,1.0,121
B015011,菠菜高山,菠菜高山,10,1.0,122
Q047030,士林香腸,士林香腸,5,1.0,123
G013140,油豆腐四角,油豆腐四角,17,1.0,124
B071180,石斛蘭,石斛蘭,7,1.0,125
S007460,河粉,河粉,3,1.0,126
